sentence,relation,head,head_offset,tail,tail_offset
如何演好自己的角色，请读《演员自我修养》《喜剧之王》周星驰崛起于穷困潦倒之中的独门秘笈,主演,喜剧之王,21,周星驰,26
茶树茶网蝽，stephanitis chinensis drake，属半翅目网蝽科冠网椿属的一种昆虫,目,茶树茶网蝽,0,半翅目,35
爱德华·尼科·埃尔南迪斯（1986-），是一位身高只有70公分哥伦比亚男子，体重10公斤，只比随身行李高一些，2010年获吉尼斯世界纪录正式认证，成为全球当今最矮的成年男人,身高,爱德华·尼科·埃尔南迪斯,0,70公分,27
《逐风行》是百度文学旗下纵横中文网签约作家清水秋风创作的一部东方玄幻小说，小说已于2014-04-28正式发布,连载网站,逐风行,1,纵横中文网,12
禅意歌者刘珂矣《一袖云》中诉知己…绵柔纯净的女声，将心中的万水千山尽意勾勒于这清素画音中,歌手,刘珂矣,4,一袖云,8
南迦帕尔巴特峰，8125米,海拔,南迦帕尔巴特峰,0,8125米,8
《身外身梦中梦》是连载于晋江文学城的一部原创类小说，作者是苍生笑,作者,身外身梦中梦,1,苍生笑,29
谢万松，字树人，湖北省武汉市人，武汉钢铁集团公司联合焦化公司退体职工，生于1940年,出生地,谢万松,0,湖北省武汉市,8
《娘家的故事第二部》是张玲执导，林在培、何赛飞等主演的电视剧,导演,娘家的故事第二部,1,张玲,11
史雪梅，女，1962年生于陕西三原县，本科毕业，是咸阳市妇女书画协会副会长，就职于陕西省宝鸡峡管理局,出生日期,史雪梅,0,1962年,6
横沥镇属亚热带季风气候地区，季风明显，气候温和,气候,横沥镇,0,亚热带季风气候,4
在军事上，李世民多次对外用兵，先后平定突厥、薜延陀、回纥、高昌、焉耆、龟兹、吐谷浑等，由是唐朝声威远播，四方宾服,朝代,李世民,5,唐朝,45
个人简介梁信强，男，2010年广州亚运会中国澳门代表团成员,国籍,梁信强,4,中国,20
”（图）张学良、赵一荻双栖,妻子,张学良,4,赵一荻,8
黄强，男，汉族，1961年2月生，广东廉江人，1985年11月加入中国共产党，1976年10月参加工作，中山大学哲学系中国哲学专业，在职研究生学历，哲学博士,民族,黄强,0,汉族,5
